Postal Area,Incident Count
,
2021,
CA8,1.0
CM0,1.0
CM1,1.0
CM11,3.0
CM12,4.0
CM13,6.0
CM14,2.0
CM2,4.0
CM3,9.0
CM4,1.0
CM8,1.0
DH1,2.0
DH4,1.0
DH5,1.0
DH6,1.0
DH7,4.0
DH8,2.0
DH9,8.0
DL1,1.0
DL12,1.0
DL13,1.0
DL14,2.0
DL15,4.0
DL16,1.0
DL2,3.0
DL5,2.0
IG2,1.0
IP22,1.0
IP23,2.0
NE10,1.0
NE11,2.0
NE15,1.0
NE16,3.0
NE20,1.0
NE21,1.0
NE23,1.0
NE24,1.0
NE26,1.0
NE3,1.0
NE33,1.0
NE34,1.0
NE39,2.0
NE4,2.0
NE40,1.0
NE46,1.0
NE47,1.0
NE48,1.0
NE5,4.0
NE62,1.0
NE65,1.0
NE66,3.0
NE7,1.0
NE9,2.0
NE9,1.0
NR32,1.0
NR34,1.0
RM1,1.0
RM11,2.0
RM12,1.0
RM13,1.0
RM14,4.0
RM16,1.0
RM18,1.0
RM19,1.0
RM6,2.0
RM7,1.0
SR2,1.0
SR4,1.0
SS0,2.0
SS1,1.0
SS11,1.0
SS12,5.0
SS13,2.0
SS14,2.0
SS15,2.0
SS16,1.0
SS17,1.0
SS3,1.0
SS4,1.0
SS5,3.0
SS6,6.0
SS7,10.0
SS9,4.0
TD15,3.0
TS14,1.0
TS15,1.0
TS18,1.0
TS23,1.0
TS4,1.0
Total 2021,176.0
,
2022,
CM0,2.0
CM1,7.0
CM11,1.0
CM12,2.0
CM13,7.0
CM14,2.0
CM15,1.0
CM2,2.0
CM3,6.0
CM4,2.0
CM8,1.0
CM9,2.0
DH1,3.0
DH5,1.0
DH6,2.0
DH8,4.0
DH9,1.0
DL13,2.0
DL14,1.0
DL15,3.0
DL16,2.0
DL17,1.0
DL5,1.0
IG1,1.0
IG11,2.0
IP17,1.0
NE1,3.0
NE10,1.0
NE11,1.0
NE12,1.0
NE13,1.0
NE15,1.0
NE16,3.0
NE20,1.0
NE29,3.0
NE31,2.0
NE33,1.0
NE34,1.0
NE35,1.0
NE36,1.0
NE38,2.0
NE39,1.0
NE61,1.0
NE8,1.0
NE9,3.0
NR34,1.0
RM1,6.0
RM11,2.0
RM12,1.0
RM14,3.0
RM15,1.0
RM17,2.0
RM20,1.0
RM3,1.0
RM7,1.0
RM9,1.0
SR1,1.0
SR2,1.0
SR3,5.0
SR4,1.0
SR5,1.0
SR6,1.0
SR8,3.0
SS0,1.0
SS11,3.0
SS12,5.0
SS13,3.0
SS14,4.0
SS15,3.0
SS16,4.0
SS17,3.0
SS2,1.0
SS4,1.0
SS5,5.0
SS6,8.0
SS7,9.0
SS8,1.0
SS9,5.0
TD15,1.0
TS11,1.0
TS12,1.0
TS15,2.0
TS16,1.0
TS23,2.0
TS29,1.0
TS3,1.0
TS5,1.0
TS7,4.0
TS7,
TS8,1.0
TS9,3.0
Total 2022,197.0
,
2023,
CM0,3.0
CM1,2.0
CM11,1.0
CM12,2.0
CM13,3.0
CM15,2.0
CM2,3.0
CM3,6.0
CM8,1.0
CM9,4.0
DH1,3.0
DH6,1.0
DH7,1.0
DH8,2.0
DH9,2.0
DL1,1.0
DL13,1.0
DL15,1.0
IG1,1.0
IG11,1.0
IP13,1.0
IP19,1.0
IP23,1.0
NE1,2.0
NE10,1.0
NE12,1.0
NE13,1.0
NE15,1.0
NE2,1.0
NE20,1.0
NE21,2.0
NE23,1.0
NE24,3.0
NE25,1.0
NE28,1.0
NE33,1.0
NE38,1.0
NE39,2.0
NE4,1.0
NE46,1.0
NE49,1.0
NE5,1.0
NE61,2.0
NE61,1.0
NE66,1.0
NE7,1.0
NE8,1.0
NE9,4.0
NR29,1.0
NR31,1.0
RM11,1.0
RM13,1.0
RM14,1.0
RM3,1.0
RM4,1.0
RM5,1.0
RM6,1.0
RM7,1.0
RM8,1.0
RM9,1.0
SR1,1.0
SR2,1.0
SR3,3.0
SS0,1.0
SS11,4.0
SS13,3.0
SS14,1.0
SS16,1.0
SS17,1.0
SS2,1.0
SS3,1.0
SS6,6.0
SS7,3.0
SS8,1.0
SS9,2.0
TS11,1.0
TS15,2.0
TS17,2.0
TS18,1.0
TS21,1.0
Total 2023,127.0
